agency_id,region,agency_size,num_dsp,dsp_turnover_rate,dsp_vacancy_rate,avg_hourly_wage,starting_hourly_wage,avg_tenure_months,pct_overtime_hours,offers_health_insurance,offers_retirement_plan,offers_paid_time_off,uses_signon_bonus
AGY-0248,Hudson Valley,Large (200+),861,47.2,16.5,20.22,19.01,31.7,10.9,0,0,1,0
AGY-0249,Finger Lakes,Medium (50-199),154,47.6,14.3,18.22,16.83,26.0,9.9,0,1,1,0
AGY-0250,Southern Tier,Medium (50-199),117,44.8,16.7,17.52,15.89,40.9,11.2,1,1,1,0
AGY-0251,Western New York,Small (<50 DSPs),12,41.1,12.7,18.95,17.37,34.7,15.2,1,1,0,1
AGY-0252,Capital Region,Medium (50-199),56,48.1,17.6,19.11,17.26,29.9,13.7,0,0,1,0
AGY-0253,New York City,Large (200+),799,24.1,5.6,22.39,21.28,39.3,5.6,1,1,1,1
AGY-0254,Long Island,Medium (50-199),182,47.9,17.3,19.89,18.54,30.9,12.3,0,0,1,0
AGY-0255,Central New York,Medium (50-199),180,49.0,18.8,18.04,17.05,29.8,16.1,1,0,0,0
AGY-0256,New York City,Large (200+),346,45.3,16.3,24.66,22.84,28.9,14.2,1,1,1,1
AGY-0257,Western New York,Small (<50 DSPs),29,40.8,21.1,18.99,16.95,36.2,16.0,1,1,1,0
AGY-0258,Long Island,Small (<50 DSPs),38,48.0,18.0,20.74,18.86,34.1,11.7,0,1,0,0
AGY-0259,Hudson Valley,Small (<50 DSPs),14,39.9,16.1,20.55,18.8,36.3,14.2,1,0,1,0
AGY-0260,Finger Lakes,Small (<50 DSPs),39,44.5,13.9,17.61,16.72,35.1,15.3,1,1,0,1
AGY-0261,Central New York,Small (<50 DSPs),44,50.3,17.7,18.47,16.66,40.7,14.1,1,0,0,0
AGY-0262,New York City,Large (200+),537,17.1,3.7,23.81,22.9,43.2,2.7,1,1,1,0
AGY-0263,Long Island,Medium (50-199),53,42.4,9.6,22.51,21.11,34.1,12.0,1,0,1,0
AGY-0264,New York City,Small (<50 DSPs),24,37.9,5.9,21.85,20.02,43.1,11.0,1,0,1,0
AGY-0265,Finger Lakes,Medium (50-199),86,41.8,8.7,17.5,15.97,35.8,10.3,1,1,1,1
AGY-0266,Long Island,Small (<50 DSPs),45,38.5,13.1,21.9,20.8,33.7,13.1,1,1,1,0
AGY-0267,Western New York,Small (<50 DSPs),34,54.3,14.9,19.12,17.59,30.2,19.7,0,1,1,1
AGY-0268,Capital Region,Small (<50 DSPs),45,42.2,21.5,18.42,16.43,39.8,14.7,0,1,0,0
AGY-0269,Central New York,Small (<50 DSPs),14,41.8,11.9,18.0,16.08,35.9,8.6,0,0,0,0
AGY-0270,New York City,Small (<50 DSPs),8,38.1,11.0,23.14,21.43,40.2,7.3,1,1,1,0
AGY-0271,New York City,Small (<50 DSPs),22,41.3,18.2,22.25,21.31,35.3,16.2,0,1,1,1
AGY-0272,Hudson Valley,Medium (50-199),179,40.0,12.1,20.82,18.76,34.2,10.1,1,0,0,0
AGY-0273,Hudson Valley,Small (<50 DSPs),31,46.1,9.5,19.43,17.48,28.9,14.9,1,0,1,0
AGY-0274,Capital Region,Small (<50 DSPs),39,58.1,25.0,18.35,17.5,32.6,16.3,1,0,1,0
AGY-0275,Long Island,Small (<50 DSPs),34,45.5,15.2,21.9,19.82,33.6,9.5,0,1,0,1
AGY-0276,New York City,Small (<50 DSPs),8,30.9,13.5,21.42,20.48,40.7,9.6,1,0,1,0
AGY-0277,Central New York,Small (<50 DSPs),36,59.7,21.2,17.33,15.5,28.4,19.0,0,1,1,1
AGY-0278,New York City,Medium (50-199),67,39.4,12.0,23.16,21.05,31.7,9.0,1,1,1,0
AGY-0279,Capital Region,Medium (50-199),175,37.6,9.6,18.26,16.77,30.6,7.9,0,0,0,0
AGY-0280,Hudson Valley,Large (200+),364,35.1,10.8,23.54,21.52,35.6,13.1,1,1,1,0
AGY-0281,New York City,Large (200+),369,25.6,8.7,23.57,22.69,41.8,5.6,1,1,1,0
AGY-0282,Finger Lakes,Large (200+),772,30.3,9.3,19.6,17.42,42.8,7.1,1,1,1,0
AGY-0283,Mohawk Valley,Small (<50 DSPs),30,60.5,16.7,17.07,16.02,31.7,17.5,0,0,0,1
AGY-0284,Long Island,Medium (50-199),143,28.8,12.6,21.87,21.01,48.9,16.5,1,0,1,0
AGY-0285,Capital Region,Small (<50 DSPs),37,53.4,17.9,18.05,16.24,36.1,20.2,1,0,0,1
AGY-0286,Southern Tier,Medium (50-199),75,44.6,12.1,17.91,16.11,34.6,20.3,0,0,1,0
AGY-0287,Long Island,Small (<50 DSPs),36,33.9,8.7,22.86,21.97,37.5,8.2,1,0,1,0
AGY-0288,Long Island,Small (<50 DSPs),42,39.0,15.8,21.83,20.83,29.4,7.4,0,1,1,0
AGY-0289,Hudson Valley,Medium (50-199),167,42.2,15.6,20.68,18.8,35.6,12.3,1,1,1,0
AGY-0290,Western New York,Large (200+),813,43.3,19.9,19.75,18.17,28.8,13.7,1,1,1,0
AGY-0291,Southern Tier,Small (<50 DSPs),39,42.1,12.0,17.37,16.38,34.5,15.3,1,1,1,0
AGY-0292,Finger Lakes,Small (<50 DSPs),24,43.7,10.8,17.99,15.98,36.5,14.0,1,0,1,0
AGY-0293,Southern Tier,Small (<50 DSPs),36,51.6,20.1,17.91,17.05,29.3,15.2,1,1,1,0
AGY-0294,Finger Lakes,Medium (50-199),163,43.6,13.8,17.65,16.28,29.5,14.0,0,0,1,0
AGY-0295,Finger Lakes,Medium (50-199),57,40.5,11.6,18.54,17.64,31.4,9.2,0,1,0,0
AGY-0296,Capital Region,Medium (50-199),115,52.3,18.4,18.43,16.24,29.8,18.0,1,0,1,1
AGY-0297,Finger Lakes,Small (<50 DSPs),46,39.3,14.3,18.07,17.01,30.6,9.7,0,1,0,1
AGY-0298,New York City,Medium (50-199),110,43.4,18.1,22.17,21.22,26.8,15.7,1,1,1,0
AGY-0299,New York City,Medium (50-199),113,37.3,6.7,22.64,21.48,32.0,11.8,1,1,1,0
AGY-0300,New York City,Large (200+),694,22.9,10.9,23.3,21.91,44.2,8.3,1,1,1,0
AGY-0301,Hudson Valley,Medium (50-199),140,51.1,23.9,21.31,19.36,33.9,17.9,1,1,1,0
AGY-0302,New York City,Small (<50 DSPs),20,36.2,11.3,22.81,20.79,28.4,6.0,0,1,1,0
AGY-0303,Hudson Valley,Medium (50-199),171,42.8,16.1,20.75,18.84,23.9,14.2,1,1,1,1
AGY-0304,Long Island,Medium (50-199),50,37.2,11.6,22.54,21.21,34.2,12.9,1,0,1,0
AGY-0305,Long Island,Large (200+),855,31.1,11.7,22.08,20.22,42.5,9.1,1,1,1,0
AGY-0306,Finger Lakes,Small (<50 DSPs),48,48.8,19.0,17.16,15.83,32.6,11.8,1,0,1,1
AGY-0307,Long Island,Medium (50-199),135,31.4,8.0,21.77,20.5,35.1,10.7,1,1,1,1
AGY-0308,New York City,Medium (50-199),94,35.1,13.1,23.79,22.3,39.2,9.4,1,1,1,0
AGY-0309,New York City,Medium (50-199),116,37.7,10.2,22.27,21.44,30.4,12.2,1,1,1,0
AGY-0310,Western New York,Small (<50 DSPs),14,51.0,18.9,18.66,17.68,36.8,18.4,0,1,1,1
AGY-0311,New York City,Medium (50-199),88,34.5,16.7,23.69,22.42,29.6,10.0,1,1,1,0
AGY-0312,Capital Region,Small (<50 DSPs),43,47.8,19.3,17.98,16.08,32.3,17.2,1,0,0,0
AGY-0313,Finger Lakes,Medium (50-199),54,51.7,13.1,17.84,16.1,29.5,18.5,1,0,1,1
AGY-0314,Long Island,Large (200+),604,36.0,10.2,22.15,21.25,34.8,14.0,1,0,1,1
AGY-0315,New York City,Medium (50-199),86,18.2,10.0,22.24,20.54,42.9,6.9,1,1,1,1
AGY-0316,Capital Region,Medium (50-199),100,42.6,16.8,19.57,17.83,36.3,12.7,0,1,1,0
AGY-0317,Southern Tier,Large (200+),735,44.0,20.8,18.79,16.87,41.8,12.9,1,0,1,0
AGY-0318,Long Island,Small (<50 DSPs),25,39.0,13.1,20.92,18.85,40.5,10.0,0,1,0,0
AGY-0319,Long Island,Medium (50-199),104,35.1,11.2,21.64,19.63,35.5,6.1,1,1,1,0
AGY-0320,Hudson Valley,Small (<50 DSPs),41,46.0,18.7,20.75,19.33,25.1,11.8,0,0,0,1
AGY-0321,Hudson Valley,Small (<50 DSPs),45,45.0,17.7,21.26,20.3,35.8,9.9,1,1,1,0
AGY-0322,Hudson Valley,Large (200+),411,46.1,18.9,20.92,19.44,30.9,16.8,1,1,1,1
AGY-0323,Western New York,Medium (50-199),190,47.1,12.3,17.57,15.39,31.6,9.5,0,0,1,1
AGY-0324,Long Island,Small (<50 DSPs),38,37.2,16.0,22.14,20.08,38.4,8.8,1,0,1,0
AGY-0325,Mohawk Valley,Small (<50 DSPs),35,51.2,22.0,17.25,16.26,26.7,17.3,1,0,1,1
AGY-0326,Long Island,Medium (50-199),55,47.7,15.5,21.27,19.52,32.4,10.5,1,1,1,1
AGY-0327,New York City,Large (200+),878,26.6,5.7,22.63,21.83,39.9,8.0,1,1,1,1
AGY-0328,Mohawk Valley,Medium (50-199),108,67.5,28.9,16.16,15.0,27.7,21.0,0,1,1,1
AGY-0329,Hudson Valley,Large (200+),599,39.0,11.0,21.31,19.99,48.1,12.8,1,1,1,0
AGY-0330,Western New York,Medium (50-199),130,42.4,12.9,17.82,16.53,34.8,10.6,1,0,0,0
AGY-0331,Southern Tier,Large (200+),376,49.8,22.3,18.4,16.74,28.9,10.5,1,1,1,1
AGY-0332,Central New York,Medium (50-199),156,43.0,15.3,18.43,17.2,38.3,13.8,1,0,0,0
AGY-0333,Capital Region,Small (<50 DSPs),32,52.4,14.8,17.37,16.18,34.4,14.0,0,1,0,0
AGY-0334,Central New York,Medium (50-199),64,51.5,14.2,19.57,18.11,21.0,14.4,1,1,1,1
AGY-0335,New York City,Small (<50 DSPs),22,34.6,10.3,22.6,21.0,34.1,18.1,0,1,1,0
AGY-0336,Western New York,Small (<50 DSPs),23,60.9,23.7,16.93,15.0,33.0,16.9,0,0,1,0
AGY-0337,North Country,Small (<50 DSPs),35,61.6,27.3,17.19,15.55,26.9,18.3,0,0,0,0
AGY-0338,New York City,Small (<50 DSPs),29,38.7,14.1,23.3,21.3,35.0,13.2,0,0,1,0
AGY-0339,Capital Region,Small (<50 DSPs),42,38.9,13.0,19.57,18.44,39.6,14.6,1,0,1,0
AGY-0340,Hudson Valley,Small (<50 DSPs),14,41.8,13.3,20.69,19.75,39.3,12.4,1,1,1,0
AGY-0341,Finger Lakes,Medium (50-199),120,38.9,9.6,18.31,16.45,40.3,16.4,1,1,0,0
AGY-0342,Long Island,Medium (50-199),166,36.1,9.5,21.19,20.21,39.5,14.3,1,1,1,0
AGY-0343,North Country,Large (200+),242,44.8,13.6,16.6,15.0,27.2,15.1,1,1,1,1
AGY-0344,New York City,Large (200+),266,24.6,9.2,23.88,22.42,41.0,3.9,1,1,1,0
AGY-0345,Western New York,Small (<50 DSPs),8,52.6,12.5,16.83,15.01,23.8,18.9,0,1,0,1
AGY-0346,Long Island,Small (<50 DSPs),15,31.2,13.5,21.77,19.96,39.0,11.7,0,1,0,0
AGY-0347,Capital Region,Small (<50 DSPs),37,49.1,19.2,18.6,17.56,29.9,17.3,0,0,0,1
AGY-0348,Hudson Valley,Medium (50-199),112,39.1,15.7,20.81,19.41,35.9,15.2,0,1,1,0
AGY-0349,Capital Region,Medium (50-199),127,50.8,16.2,18.02,17.07,26.6,13.3,1,1,1,0
AGY-0350,New York City,Small (<50 DSPs),13,47.5,12.9,21.51,19.44,27.7,9.1,1,0,1,0
AGY-0351,New York City,Medium (50-199),110,30.4,15.1,22.94,20.94,38.2,9.7,1,1,1,0
AGY-0352,Western New York,Small (<50 DSPs),9,47.5,18.7,17.14,15.9,35.5,8.3,1,1,1,0
AGY-0353,Mohawk Valley,Small (<50 DSPs),25,50.5,18.9,17.32,15.78,36.8,9.3,0,1,0,0
AGY-0354,New York City,Medium (50-199),191,30.8,12.6,22.26,20.99,44.1,10.9,1,1,1,0
AGY-0355,Capital Region,Medium (50-199),129,61.5,24.5,17.55,15.77,20.7,19.9,1,0,0,0
AGY-0356,Capital Region,Small (<50 DSPs),8,51.8,20.4,19.34,17.41,25.5,19.7,1,1,1,1
AGY-0357,Central New York,Large (200+),716,39.6,13.7,19.7,18.31,42.8,12.1,1,1,1,0
AGY-0358,Hudson Valley,Small (<50 DSPs),31,47.2,20.3,20.51,19.44,35.2,14.7,1,0,1,0
AGY-0359,Hudson Valley,Small (<50 DSPs),18,49.5,18.7,21.04,19.58,28.6,16.3,0,1,0,1
AGY-0360,Western New York,Medium (50-199),161,43.1,14.6,18.72,16.85,29.8,15.2,1,0,1,0
AGY-0361,Central New York,Large (200+),340,36.5,12.3,19.04,17.79,31.7,7.1,1,1,1,0
AGY-0362,New York City,Small (<50 DSPs),26,30.2,11.9,22.57,20.49,44.9,9.3,0,1,1,0
AGY-0363,Hudson Valley,Medium (50-199),141,51.1,17.6,20.42,19.08,25.6,17.0,1,0,1,1
AGY-0364,Capital Region,Small (<50 DSPs),44,45.4,16.9,18.47,16.9,29.9,14.0,0,0,1,0
AGY-0365,Hudson Valley,Medium (50-199),168,47.4,16.0,20.39,18.81,28.9,10.3,1,1,1,1
AGY-0366,Western New York,Small (<50 DSPs),39,52.8,21.0,18.09,16.6,34.0,13.0,1,0,1,1
AGY-0367,Capital Region,Medium (50-199),60,55.0,18.5,18.21,16.56,22.2,14.9,0,0,1,0
AGY-0368,Long Island,Small (<50 DSPs),36,42.1,14.7,22.2,21.27,39.9,8.2,0,0,1,0
AGY-0369,Hudson Valley,Medium (50-199),81,41.6,15.0,19.86,19.02,32.0,8.9,1,0,1,1
AGY-0370,Finger Lakes,Small (<50 DSPs),22,48.0,11.3,17.83,16.87,34.4,13.5,1,1,1,1
AGY-0371,Finger Lakes,Small (<50 DSPs),8,34.9,12.5,17.85,17.0,37.3,12.0,0,1,0,0
AGY-0372,Hudson Valley,Small (<50 DSPs),9,52.2,18.3,19.64,18.34,28.3,16.2,0,0,0,0
AGY-0373,Mohawk Valley,Medium (50-199),146,50.2,17.6,16.13,15.0,31.8,12.5,0,1,1,0
AGY-0374,Western New York,Small (<50 DSPs),31,49.0,19.3,17.59,16.13,22.3,19.4,1,0,0,1
AGY-0375,New York City,Small (<50 DSPs),12,34.4,9.4,22.18,20.8,43.4,13.0,1,0,1,1
AGY-0376,Hudson Valley,Medium (50-199),89,46.5,21.2,20.46,19.57,21.2,15.5,1,0,1,0
AGY-0377,Western New York,Small (<50 DSPs),34,55.7,19.1,16.75,15.78,27.1,16.0,0,0,1,0
AGY-0378,Hudson Valley,Large (200+),418,46.7,17.0,21.05,19.21,38.9,13.6,1,1,1,0
AGY-0379,Finger Lakes,Large (200+),608,50.1,16.0,18.24,16.08,29.4,13.7,1,1,1,0
AGY-0380,Long Island,Large (200+),296,37.1,10.6,23.2,21.57,28.6,14.4,1,1,1,1
AGY-0381,Long Island,Medium (50-199),156,37.8,7.9,24.36,23.56,36.1,15.5,1,1,1,0
AGY-0382,New York City,Small (<50 DSPs),43,41.3,15.4,22.65,20.67,37.6,10.7,1,1,0,0
AGY-0383,New York City,Small (<50 DSPs),20,45.1,20.4,20.94,19.78,32.4,12.8,1,1,1,0
AGY-0384,Long Island,Small (<50 DSPs),10,41.0,12.0,20.88,19.19,32.8,12.7,0,0,1,0
AGY-0385,New York City,Medium (50-199),143,36.1,8.8,24.58,22.99,43.1,10.7,1,1,1,0
AGY-0386,New York City,Medium (50-199),55,28.5,11.3,24.15,22.89,40.9,8.4,0,1,1,0
AGY-0387,Finger Lakes,Medium (50-199),138,48.6,17.6,18.18,17.36,33.3,15.0,1,1,0,1
AGY-0388,Long Island,Medium (50-199),134,37.8,12.9,21.88,21.08,32.1,5.9,1,0,1,0
AGY-0389,Long Island,Large (200+),251,33.7,12.4,23.04,21.15,40.4,15.6,1,1,1,0
AGY-0390,Long Island,Large (200+),493,50.0,23.4,22.97,21.05,37.6,18.7,1,0,1,0
AGY-0391,Long Island,Medium (50-199),158,40.1,18.3,22.35,21.32,37.7,17.0,1,1,1,0
AGY-0392,Hudson Valley,Medium (50-199),162,44.8,12.6,20.34,18.95,39.4,15.2,1,1,1,0
AGY-0393,Hudson Valley,Small (<50 DSPs),41,41.8,8.7,21.84,20.06,34.9,8.8,0,1,1,0
AGY-0394,New York City,Small (<50 DSPs),32,39.2,12.9,22.13,20.91,35.5,10.2,1,0,1,0
AGY-0395,New York City,Small (<50 DSPs),15,31.6,16.2,22.94,20.81,44.2,9.8,1,1,1,0
AGY-0396,New York City,Large (200+),404,30.7,8.9,23.92,21.77,40.3,12.5,1,1,1,0
AGY-0397,New York City,Medium (50-199),159,34.4,10.1,23.55,21.69,38.1,8.5,1,0,1,0
AGY-0398,New York City,Medium (50-199),137,30.8,10.3,23.12,21.5,44.3,14.8,1,1,1,0
AGY-0399,New York City,Small (<50 DSPs),26,32.2,12.3,21.56,20.15,38.5,8.0,1,0,1,0
AGY-0400,Western New York,Small (<50 DSPs),45,45.7,19.6,18.37,16.63,35.8,10.7,0,0,1,0
AGY-0401,New York City,Small (<50 DSPs),9,42.9,13.0,22.25,20.29,21.9,14.1,1,0,1,1
AGY-0402,New York City,Small (<50 DSPs),32,33.8,11.1,22.47,21.04,45.0,14.8,1,1,1,0
AGY-0403,Long Island,Large (200+),208,33.0,14.9,21.91,21.1,37.0,9.5,1,1,1,0
AGY-0404,Hudson Valley,Small (<50 DSPs),10,47.0,12.3,19.5,17.57,29.8,18.6,0,0,1,0
AGY-0405,Central New York,Medium (50-199),52,54.4,12.8,16.55,15.71,34.8,18.8,0,1,0,1
AGY-0406,Long Island,Small (<50 DSPs),14,46.4,16.1,21.22,19.26,33.9,13.9,0,1,1,0
AGY-0407,New York City,Large (200+),536,29.6,10.2,23.2,21.78,32.9,3.7,1,1,1,0
AGY-0408,New York City,Medium (50-199),170,30.3,9.8,23.78,22.8,45.1,4.3,1,1,1,0
AGY-0409,Central New York,Small (<50 DSPs),13,58.7,17.5,16.18,15.0,31.3,19.6,0,1,1,0
AGY-0410,Long Island,Small (<50 DSPs),21,27.1,10.7,23.18,21.85,47.3,8.2,1,1,1,0
AGY-0411,Mohawk Valley,Small (<50 DSPs),41,40.1,15.9,17.1,15.0,36.7,14.3,0,0,1,0
AGY-0412,Long Island,Small (<50 DSPs),35,41.9,12.9,20.55,19.42,28.7,16.3,0,0,0,1
AGY-0413,North Country,Small (<50 DSPs),45,56.0,24.5,15.78,15.0,29.8,12.6,1,0,1,0
AGY-0414,Long Island,Large (200+),510,38.1,13.9,23.01,21.92,33.1,12.7,1,1,1,0
AGY-0415,New York City,Small (<50 DSPs),45,45.2,14.0,22.41,20.88,24.8,15.9,1,1,1,1
AGY-0416,Central New York,Medium (50-199),151,52.8,23.7,17.67,16.24,36.5,13.7,1,0,1,0
AGY-0417,New York City,Medium (50-199),98,40.2,10.5,21.6,20.03,37.3,12.2,1,0,1,0
AGY-0418,Long Island,Medium (50-199),91,30.8,11.8,21.46,20.39,38.4,3.4,1,0,1,0
AGY-0419,Central New York,Large (200+),340,54.2,16.6,19.39,17.6,37.7,12.8,0,1,1,0
AGY-0420,Hudson Valley,Small (<50 DSPs),28,44.3,14.7,21.13,19.19,33.4,16.1,1,1,1,0
AGY-0421,New York City,Small (<50 DSPs),11,31.8,13.1,22.1,20.11,27.7,8.3,1,1,1,1
AGY-0422,Capital Region,Small (<50 DSPs),24,55.8,15.1,18.1,17.22,32.6,19.0,1,0,1,0
AGY-0423,Long Island,Small (<50 DSPs),43,49.8,18.3,21.72,20.17,26.5,12.8,1,1,1,0
AGY-0424,Mohawk Valley,Large (200+),712,28.7,12.3,18.85,17.37,37.3,5.8,1,1,1,0
AGY-0425,Long Island,Small (<50 DSPs),41,26.2,7.5,22.39,20.39,39.7,12.1,1,1,1,0
AGY-0426,Central New York,Medium (50-199),119,52.7,17.8,18.73,17.12,34.7,13.2,0,1,1,0
AGY-0427,Hudson Valley,Small (<50 DSPs),37,46.5,14.7,19.91,17.82,28.4,14.2,1,1,1,1
AGY-0428,Long Island,Large (200+),600,36.1,12.8,24.64,23.46,31.4,12.7,1,1,1,0
AGY-0429,Long Island,Medium (50-199),139,37.7,19.3,20.49,18.39,38.8,14.1,0,1,1,0
AGY-0430,Finger Lakes,Small (<50 DSPs),12,49.0,14.8,18.1,16.39,29.7,16.0,1,0,1,0
AGY-0431,New York City,Medium (50-199),89,43.4,13.1,22.43,21.25,40.6,11.4,1,1,1,0
AGY-0432,Capital Region,Medium (50-199),133,39.5,12.2,18.64,17.04,37.8,15.1,1,1,0,0
AGY-0433,Central New York,Medium (50-199),106,45.1,17.1,18.49,17.48,24.9,14.1,1,1,1,0
AGY-0434,Central New York,Large (200+),638,55.4,18.1,18.17,16.21,25.0,17.0,0,1,1,0
AGY-0435,New York City,Medium (50-199),183,34.6,8.8,21.65,20.84,40.2,11.3,0,1,1,1
AGY-0436,New York City,Small (<50 DSPs),40,35.0,8.9,22.67,21.29,32.8,9.8,1,0,1,0
AGY-0437,New York City,Small (<50 DSPs),37,38.9,13.1,23.54,21.44,35.3,11.6,1,1,1,1
AGY-0438,Mohawk Valley,Small (<50 DSPs),35,51.6,20.2,17.84,16.69,30.8,16.2,1,0,0,0
AGY-0439,New York City,Medium (50-199),88,36.7,11.6,21.22,20.39,44.1,12.1,0,1,1,1
AGY-0440,Southern Tier,Large (200+),719,50.4,18.6,17.3,16.1,29.8,14.9,0,0,1,1
AGY-0441,New York City,Large (200+),321,36.4,19.7,24.16,23.15,39.8,15.3,1,1,1,0
AGY-0442,New York City,Medium (50-199),80,29.2,2.2,23.16,22.04,41.8,3.9,1,0,1,1
AGY-0443,Western New York,Small (<50 DSPs),42,63.1,22.4,16.08,15.0,22.7,19.4,1,0,1,1
AGY-0444,New York City,Small (<50 DSPs),38,35.6,11.1,22.77,21.76,40.0,9.2,1,0,1,0
AGY-0445,Southern Tier,Large (200+),316,33.1,14.2,17.72,16.3,32.9,12.5,0,1,1,0
AGY-0446,Finger Lakes,Large (200+),378,41.6,12.4,18.75,17.72,39.5,8.2,1,1,1,0
AGY-0447,New York City,Small (<50 DSPs),24,39.7,11.6,22.25,20.48,29.1,7.4,1,1,1,0
AGY-0448,Long Island,Medium (50-199),197,54.4,21.8,21.57,19.69,27.3,21.1,1,1,1,0
AGY-0449,Hudson Valley,Small (<50 DSPs),35,46.8,15.2,21.42,20.12,28.1,10.1,1,0,1,1
AGY-0450,New York City,Small (<50 DSPs),39,23.8,6.4,23.07,22.14,36.2,8.0,1,1,1,0
