family_id,region,survey_type,satisfied_with_services,satisfied_case_management,involved_in_service_planning,gets_needed_information,services_meet_needs,respite_access_adequate,community_connections_support,would_recommend_services
FAM-00364,Central New York,Family/Guardian Survey,0,0,0,0,1,1,0,1
FAM-00365,New York City,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00366,Western New York,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00367,Long Island,Adult Family Survey,0,0,0,0,1,1,0,1
FAM-00368,North Country,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00369,Capital Region,Child Family Survey,1,1,1,0,1,1,0,0
FAM-00370,Southern Tier,Adult Family Survey,0,1,1,1,1,0,0,1
FAM-00371,Mohawk Valley,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00372,Hudson Valley,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00373,Central New York,Family/Guardian Survey,1,1,1,1,1,0,0,1
FAM-00374,Finger Lakes,Adult Family Survey,1,1,1,1,1,0,0,1
FAM-00375,New York City,Child Family Survey,1,0,1,1,1,1,1,1
FAM-00376,New York City,Adult Family Survey,0,0,1,1,1,0,0,1
FAM-00377,Western New York,Child Family Survey,1,0,1,1,1,1,0,1
FAM-00378,Hudson Valley,Adult Family Survey,1,1,0,1,0,1,0,0
FAM-00379,New York City,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00380,Western New York,Adult Family Survey,1,1,0,1,0,1,1,1
FAM-00381,New York City,Family/Guardian Survey,1,1,1,0,1,1,0,1
FAM-00382,New York City,Child Family Survey,1,1,1,1,0,1,1,1
FAM-00383,Finger Lakes,Family/Guardian Survey,1,1,1,1,1,1,1,0
FAM-00384,Central New York,Adult Family Survey,1,1,1,0,0,1,0,1
FAM-00385,Western New York,Child Family Survey,0,1,0,1,1,0,0,0
FAM-00386,New York City,Adult Family Survey,1,1,1,0,1,0,1,1
FAM-00387,Southern Tier,Family/Guardian Survey,1,1,1,1,1,0,1,0
FAM-00388,Long Island,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00389,New York City,Child Family Survey,1,1,0,0,1,1,1,1
FAM-00390,New York City,Adult Family Survey,1,1,1,0,1,0,0,1
FAM-00391,New York City,Child Family Survey,0,1,1,1,1,1,1,1
FAM-00392,Finger Lakes,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00393,New York City,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00394,Hudson Valley,Child Family Survey,1,1,0,1,0,1,0,0
FAM-00395,New York City,Child Family Survey,1,1,1,0,1,0,1,1
FAM-00396,Capital Region,Family/Guardian Survey,0,1,1,0,1,0,0,1
FAM-00397,Hudson Valley,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00398,New York City,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00399,Long Island,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00400,Hudson Valley,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00401,New York City,Adult Family Survey,1,1,1,1,0,0,1,1
FAM-00402,Long Island,Family/Guardian Survey,0,1,1,1,1,1,1,0
FAM-00403,Finger Lakes,Adult Family Survey,1,1,1,0,0,0,0,1
FAM-00404,Western New York,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00405,Hudson Valley,Family/Guardian Survey,1,0,1,1,0,1,0,1
FAM-00406,Long Island,Family/Guardian Survey,0,0,1,1,1,0,1,0
FAM-00407,New York City,Child Family Survey,1,0,0,1,1,1,1,1
FAM-00408,Long Island,Family/Guardian Survey,1,0,1,0,1,0,0,1
FAM-00409,Hudson Valley,Adult Family Survey,1,0,0,1,1,0,0,1
FAM-00410,Finger Lakes,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00411,Hudson Valley,Family/Guardian Survey,1,1,1,1,0,0,0,1
FAM-00412,North Country,Adult Family Survey,1,1,1,1,1,1,1,0
FAM-00413,Long Island,Adult Family Survey,0,0,1,0,1,0,1,1
FAM-00414,New York City,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00415,Western New York,Adult Family Survey,1,0,1,1,1,0,0,1
FAM-00416,Western New York,Family/Guardian Survey,1,0,1,1,0,0,0,1
FAM-00417,Long Island,Child Family Survey,1,0,1,1,0,0,1,1
FAM-00418,Hudson Valley,Family/Guardian Survey,1,1,1,0,1,1,0,1
FAM-00419,Western New York,Child Family Survey,1,1,1,0,1,1,0,0
FAM-00420,New York City,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00421,Central New York,Family/Guardian Survey,1,1,1,1,0,0,1,0
FAM-00422,Central New York,Adult Family Survey,1,1,0,1,0,0,1,1
FAM-00423,Western New York,Adult Family Survey,1,0,1,0,1,1,0,1
FAM-00424,New York City,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00425,New York City,Adult Family Survey,1,1,1,1,0,1,1,1
FAM-00426,Finger Lakes,Adult Family Survey,1,1,1,1,1,0,0,0
FAM-00427,Western New York,Adult Family Survey,0,0,0,1,1,0,0,1
FAM-00428,Long Island,Family/Guardian Survey,1,1,1,1,1,1,1,0
FAM-00429,New York City,Adult Family Survey,1,1,1,1,0,1,1,0
FAM-00430,Capital Region,Child Family Survey,1,0,1,0,0,0,1,1
FAM-00431,New York City,Adult Family Survey,0,0,1,0,1,1,0,1
FAM-00432,Hudson Valley,Family/Guardian Survey,0,1,1,0,1,1,1,0
FAM-00433,North Country,Family/Guardian Survey,1,1,1,1,0,0,1,0
FAM-00434,New York City,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00435,Western New York,Adult Family Survey,1,0,0,1,0,1,1,0
FAM-00436,Capital Region,Adult Family Survey,1,1,1,1,1,1,0,0
FAM-00437,Hudson Valley,Child Family Survey,1,1,0,1,1,0,1,1
FAM-00438,New York City,Child Family Survey,1,1,1,1,1,1,1,0
FAM-00439,Finger Lakes,Child Family Survey,1,1,1,0,1,1,0,1
FAM-00440,Finger Lakes,Child Family Survey,0,1,1,0,0,1,1,1
FAM-00441,New York City,Child Family Survey,0,1,1,1,1,1,1,1
FAM-00442,Finger Lakes,Child Family Survey,1,1,0,1,0,1,0,1
FAM-00443,New York City,Adult Family Survey,0,1,1,1,1,1,1,1
FAM-00444,Hudson Valley,Child Family Survey,1,1,0,1,0,1,0,1
FAM-00445,New York City,Family/Guardian Survey,1,1,1,1,0,1,0,1
FAM-00446,Finger Lakes,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00447,New York City,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00448,New York City,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00449,North Country,Adult Family Survey,1,1,1,0,1,1,0,1
FAM-00450,Long Island,Family/Guardian Survey,1,1,1,1,0,0,0,1
FAM-00451,Long Island,Adult Family Survey,1,0,1,1,1,0,0,1
FAM-00452,Hudson Valley,Adult Family Survey,1,1,1,1,0,1,0,1
FAM-00453,Central New York,Child Family Survey,0,1,1,0,1,0,1,1
FAM-00454,Capital Region,Child Family Survey,1,0,1,1,1,1,0,1
FAM-00455,Finger Lakes,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00456,Mohawk Valley,Adult Family Survey,1,1,1,1,1,0,0,1
FAM-00457,Long Island,Family/Guardian Survey,1,1,1,0,0,1,0,0
FAM-00458,Long Island,Family/Guardian Survey,1,0,1,0,1,1,1,1
FAM-00459,Mohawk Valley,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00460,Hudson Valley,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00461,New York City,Child Family Survey,1,1,1,1,1,0,0,0
FAM-00462,New York City,Family/Guardian Survey,1,1,1,1,1,1,1,0
FAM-00463,New York City,Adult Family Survey,1,1,0,1,0,0,0,1
FAM-00464,Long Island,Adult Family Survey,0,1,1,1,1,1,0,1
FAM-00465,Capital Region,Adult Family Survey,0,1,1,1,1,1,1,1
FAM-00466,Central New York,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00467,Southern Tier,Adult Family Survey,0,0,1,1,1,1,0,1
FAM-00468,Long Island,Adult Family Survey,1,1,1,1,0,0,1,1
FAM-00469,New York City,Adult Family Survey,1,1,1,0,1,0,1,1
FAM-00470,New York City,Family/Guardian Survey,1,1,0,1,1,0,1,0
FAM-00471,Finger Lakes,Child Family Survey,1,1,1,1,1,0,1,0
FAM-00472,New York City,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00473,Mohawk Valley,Adult Family Survey,1,1,1,0,1,1,0,0
FAM-00474,Central New York,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00475,Western New York,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00476,Finger Lakes,Family/Guardian Survey,1,0,1,1,1,1,1,1
FAM-00477,Southern Tier,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00478,New York City,Family/Guardian Survey,1,1,1,0,1,0,0,1
FAM-00479,New York City,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00480,Hudson Valley,Adult Family Survey,1,1,1,1,0,1,1,0
FAM-00481,Long Island,Family/Guardian Survey,1,0,1,1,0,0,1,1
FAM-00482,Hudson Valley,Adult Family Survey,1,1,1,1,0,1,0,0
FAM-00483,Central New York,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00484,Mohawk Valley,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00485,Capital Region,Adult Family Survey,0,1,1,1,0,1,1,0
FAM-00486,Hudson Valley,Child Family Survey,0,0,1,0,1,0,1,1
FAM-00487,Hudson Valley,Adult Family Survey,1,1,1,1,0,0,0,0
FAM-00488,Mohawk Valley,Family/Guardian Survey,1,1,1,0,0,0,0,1
FAM-00489,Finger Lakes,Adult Family Survey,1,1,1,1,0,1,1,1
FAM-00490,New York City,Adult Family Survey,0,1,1,1,1,0,1,1
FAM-00491,Western New York,Family/Guardian Survey,1,0,1,0,1,0,0,1
FAM-00492,Finger Lakes,Child Family Survey,1,1,0,1,0,0,1,1
FAM-00493,Western New York,Family/Guardian Survey,1,1,1,1,1,0,0,1
FAM-00494,North Country,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00495,Finger Lakes,Child Family Survey,1,1,1,1,0,1,1,1
FAM-00496,Hudson Valley,Adult Family Survey,1,1,1,1,1,0,1,0
FAM-00497,Central New York,Family/Guardian Survey,1,0,0,0,1,0,1,1
FAM-00498,Hudson Valley,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00499,New York City,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00500,Capital Region,Adult Family Survey,0,0,1,1,1,1,1,0
FAM-00501,Long Island,Adult Family Survey,1,1,0,1,0,1,1,1
FAM-00502,New York City,Adult Family Survey,1,1,1,1,0,1,1,1
FAM-00503,Western New York,Adult Family Survey,0,1,1,0,1,1,1,1
FAM-00504,New York City,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00505,Long Island,Adult Family Survey,1,1,0,1,1,1,1,1
FAM-00506,Hudson Valley,Child Family Survey,1,0,0,1,0,0,1,0
FAM-00507,Long Island,Adult Family Survey,1,1,1,0,1,0,1,1
FAM-00508,Central New York,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00509,Southern Tier,Family/Guardian Survey,1,0,0,1,1,0,0,1
FAM-00510,Mohawk Valley,Child Family Survey,1,1,1,0,1,0,1,1
FAM-00511,Central New York,Child Family Survey,1,1,1,0,1,0,0,1
FAM-00512,New York City,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00513,Long Island,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00514,Capital Region,Family/Guardian Survey,1,1,1,1,0,1,0,1
FAM-00515,Hudson Valley,Family/Guardian Survey,1,1,0,1,1,1,1,0
FAM-00516,New York City,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00517,New York City,Child Family Survey,0,1,1,1,0,1,0,1
FAM-00518,New York City,Adult Family Survey,1,1,1,0,1,0,0,1
FAM-00519,Central New York,Child Family Survey,0,1,0,1,1,1,1,1
FAM-00520,New York City,Adult Family Survey,1,0,1,1,0,1,0,1
FAM-00521,Hudson Valley,Child Family Survey,0,0,1,0,1,1,0,1
FAM-00522,New York City,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00523,Central New York,Adult Family Survey,1,1,1,0,0,1,0,1
FAM-00524,Western New York,Child Family Survey,1,0,1,1,0,1,1,1
FAM-00525,Hudson Valley,Child Family Survey,1,1,1,1,0,0,0,1
FAM-00526,Long Island,Child Family Survey,1,1,0,0,1,0,1,1
FAM-00527,Western New York,Adult Family Survey,1,1,1,1,1,1,1,0
FAM-00528,New York City,Family/Guardian Survey,1,1,1,1,1,0,0,0
FAM-00529,Central New York,Child Family Survey,1,1,1,0,1,1,0,1
FAM-00530,Hudson Valley,Adult Family Survey,1,1,1,1,1,1,1,0
FAM-00531,Southern Tier,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00532,Long Island,Child Family Survey,0,1,1,1,1,1,0,0
FAM-00533,Western New York,Child Family Survey,0,1,1,1,1,1,1,0
FAM-00534,Hudson Valley,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00535,Hudson Valley,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00536,New York City,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00537,Finger Lakes,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00538,Hudson Valley,Adult Family Survey,1,0,1,1,1,0,1,0
FAM-00539,New York City,Child Family Survey,0,1,1,1,1,1,0,1
FAM-00540,New York City,Child Family Survey,1,1,1,1,1,0,0,1
FAM-00541,Capital Region,Family/Guardian Survey,1,0,0,0,1,0,0,0
FAM-00542,Western New York,Child Family Survey,0,0,0,1,0,1,0,1
FAM-00543,New York City,Adult Family Survey,1,1,1,1,1,0,1,0
FAM-00544,New York City,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00545,North Country,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00546,Southern Tier,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00547,Long Island,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00548,Long Island,Adult Family Survey,1,1,1,1,1,0,0,1
FAM-00549,Capital Region,Child Family Survey,1,1,0,0,1,1,0,1
FAM-00550,Long Island,Family/Guardian Survey,1,1,1,1,1,1,0,0
FAM-00551,Capital Region,Adult Family Survey,1,1,0,0,0,0,0,1
FAM-00552,Western New York,Child Family Survey,1,0,1,1,1,1,1,1
FAM-00553,Capital Region,Family/Guardian Survey,0,1,1,1,0,1,1,1
FAM-00554,New York City,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00555,New York City,Adult Family Survey,1,1,1,0,1,0,1,1
FAM-00556,Central New York,Child Family Survey,1,0,1,0,0,0,1,1
FAM-00557,New York City,Adult Family Survey,1,1,1,1,1,0,0,1
FAM-00558,Central New York,Adult Family Survey,0,0,1,1,0,1,1,1
FAM-00559,New York City,Child Family Survey,0,1,1,0,1,0,0,1
FAM-00560,New York City,Child Family Survey,0,1,1,0,1,1,1,1
FAM-00561,New York City,Family/Guardian Survey,1,1,1,0,1,0,1,1
FAM-00562,Southern Tier,Adult Family Survey,1,1,1,1,0,1,1,1
FAM-00563,Long Island,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00564,Long Island,Adult Family Survey,1,0,1,1,1,1,1,1
FAM-00565,Southern Tier,Child Family Survey,1,0,1,1,0,0,0,1
FAM-00566,Mohawk Valley,Child Family Survey,1,1,0,1,0,1,1,1
FAM-00567,New York City,Family/Guardian Survey,1,1,0,1,1,1,1,1
FAM-00568,Long Island,Child Family Survey,1,1,0,0,1,1,0,1
FAM-00569,New York City,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00570,Central New York,Family/Guardian Survey,1,1,1,0,0,1,1,1
FAM-00571,Central New York,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00572,Southern Tier,Family/Guardian Survey,0,1,1,0,1,1,1,0
FAM-00573,Finger Lakes,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00574,Capital Region,Family/Guardian Survey,0,0,1,0,1,1,1,1
FAM-00575,Southern Tier,Adult Family Survey,1,1,1,0,0,0,1,0
FAM-00576,Long Island,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00577,New York City,Adult Family Survey,1,1,1,0,1,0,1,1
FAM-00578,New York City,Family/Guardian Survey,1,1,1,1,0,1,0,1
FAM-00579,Hudson Valley,Family/Guardian Survey,0,1,1,1,1,1,1,1
FAM-00580,Central New York,Child Family Survey,0,1,1,1,1,0,1,1
FAM-00581,New York City,Child Family Survey,1,0,1,0,1,1,1,1
FAM-00582,Capital Region,Child Family Survey,1,1,1,0,0,1,1,1
FAM-00583,Central New York,Family/Guardian Survey,1,1,1,0,1,1,0,1
FAM-00584,Hudson Valley,Family/Guardian Survey,1,1,1,0,1,0,0,1
FAM-00585,Finger Lakes,Adult Family Survey,1,1,1,0,1,1,0,1
FAM-00586,Western New York,Family/Guardian Survey,1,1,1,0,0,1,1,1
FAM-00587,New York City,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00588,Central New York,Child Family Survey,1,1,1,0,1,1,0,1
FAM-00589,Capital Region,Child Family Survey,0,1,1,1,1,1,0,1
FAM-00590,Southern Tier,Adult Family Survey,0,1,1,1,1,1,1,1
FAM-00591,New York City,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00592,New York City,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00593,Southern Tier,Family/Guardian Survey,1,1,1,0,1,0,1,0
FAM-00594,Southern Tier,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00595,New York City,Adult Family Survey,1,1,0,1,0,1,0,1
FAM-00596,Long Island,Adult Family Survey,1,1,1,1,1,0,0,0
FAM-00597,New York City,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00598,Hudson Valley,Family/Guardian Survey,1,0,1,0,1,1,1,1
FAM-00599,Hudson Valley,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00600,Western New York,Child Family Survey,1,1,1,1,0,1,1,1
FAM-00601,Finger Lakes,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00602,Mohawk Valley,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00603,New York City,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00604,Western New York,Child Family Survey,1,1,0,1,0,0,1,0
FAM-00605,Hudson Valley,Child Family Survey,1,1,0,1,0,0,0,1
FAM-00606,New York City,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00607,Long Island,Child Family Survey,1,0,0,1,0,1,1,1
FAM-00608,Hudson Valley,Child Family Survey,1,0,1,0,0,1,1,1
FAM-00609,Hudson Valley,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00610,Hudson Valley,Family/Guardian Survey,1,0,1,1,1,1,1,1
FAM-00611,Southern Tier,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00612,Southern Tier,Adult Family Survey,1,1,1,1,0,0,0,1
FAM-00613,Long Island,Family/Guardian Survey,0,1,0,1,1,0,0,1
FAM-00614,Western New York,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00615,Hudson Valley,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00616,New York City,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00617,Hudson Valley,Family/Guardian Survey,1,1,1,1,0,0,0,0
FAM-00618,North Country,Child Family Survey,1,1,1,0,1,1,0,1
FAM-00619,Southern Tier,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00620,New York City,Adult Family Survey,1,0,1,1,0,0,1,1
FAM-00621,New York City,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00622,Southern Tier,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00623,Mohawk Valley,Family/Guardian Survey,0,1,1,0,1,0,1,1
FAM-00624,Central New York,Family/Guardian Survey,0,1,1,1,1,0,1,0
FAM-00625,Finger Lakes,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00626,Central New York,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00627,Hudson Valley,Adult Family Survey,1,0,1,1,1,0,1,1
FAM-00628,New York City,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00629,New York City,Family/Guardian Survey,0,1,1,1,1,1,1,1
FAM-00630,Central New York,Child Family Survey,0,1,1,0,1,1,1,0
FAM-00631,New York City,Adult Family Survey,1,0,1,0,0,1,0,1
FAM-00632,New York City,Child Family Survey,1,1,1,1,1,1,0,0
FAM-00633,New York City,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00634,Western New York,Family/Guardian Survey,1,0,1,1,1,0,0,1
FAM-00635,North Country,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00636,Hudson Valley,Child Family Survey,1,1,1,1,0,0,1,0
FAM-00637,Long Island,Child Family Survey,1,0,0,1,1,1,0,0
FAM-00638,New York City,Child Family Survey,1,1,1,1,0,1,0,1
FAM-00639,Capital Region,Child Family Survey,1,0,1,0,0,0,1,1
FAM-00640,Central New York,Adult Family Survey,1,1,1,0,1,1,0,1
FAM-00641,Long Island,Adult Family Survey,1,1,1,0,1,0,1,0
FAM-00642,Finger Lakes,Adult Family Survey,0,1,1,1,1,0,0,0
FAM-00643,New York City,Child Family Survey,1,1,1,0,1,0,1,1
FAM-00644,Long Island,Family/Guardian Survey,0,1,1,1,1,1,0,0
FAM-00645,Western New York,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00646,Long Island,Adult Family Survey,0,1,1,1,0,0,0,1
FAM-00647,New York City,Child Family Survey,0,1,1,1,1,1,0,1
FAM-00648,New York City,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00649,Long Island,Adult Family Survey,1,1,0,1,1,0,1,1
FAM-00650,Mohawk Valley,Adult Family Survey,1,0,1,1,1,0,1,1
FAM-00651,New York City,Adult Family Survey,1,0,1,1,0,0,0,0
FAM-00652,New York City,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00653,Hudson Valley,Child Family Survey,1,1,1,0,1,0,1,1
FAM-00654,Long Island,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00655,Long Island,Adult Family Survey,1,1,1,0,1,0,1,0
FAM-00656,Hudson Valley,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00657,Finger Lakes,Adult Family Survey,1,1,1,1,0,1,0,1
FAM-00658,Western New York,Child Family Survey,1,0,1,1,1,0,1,1
FAM-00659,Western New York,Family/Guardian Survey,1,0,1,0,1,1,1,1
FAM-00660,Southern Tier,Family/Guardian Survey,1,1,1,1,0,1,1,1
FAM-00661,Capital Region,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00662,Mohawk Valley,Child Family Survey,1,1,0,1,1,0,1,1
FAM-00663,Hudson Valley,Family/Guardian Survey,1,1,1,0,1,0,1,1
FAM-00664,Capital Region,Child Family Survey,0,1,1,1,1,1,1,1
FAM-00665,Central New York,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00666,Western New York,Child Family Survey,0,1,1,1,1,1,0,0
FAM-00667,Hudson Valley,Child Family Survey,1,0,1,0,1,1,0,0
FAM-00668,New York City,Family/Guardian Survey,1,1,1,0,1,1,1,0
FAM-00669,Southern Tier,Family/Guardian Survey,1,0,1,0,1,0,1,1
FAM-00670,Long Island,Adult Family Survey,0,1,0,1,0,0,0,1
FAM-00671,New York City,Child Family Survey,1,1,1,0,1,0,1,1
FAM-00672,Finger Lakes,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00673,Long Island,Child Family Survey,1,1,1,0,1,0,1,1
FAM-00674,New York City,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00675,Central New York,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00676,Western New York,Child Family Survey,1,0,1,0,1,0,1,1
FAM-00677,Western New York,Family/Guardian Survey,1,1,1,0,1,0,1,0
FAM-00678,Finger Lakes,Child Family Survey,1,1,1,0,1,1,0,1
FAM-00679,Long Island,Family/Guardian Survey,1,1,1,1,0,1,0,1
FAM-00680,Central New York,Family/Guardian Survey,1,1,0,1,0,1,0,1
FAM-00681,Hudson Valley,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00682,Western New York,Family/Guardian Survey,0,1,1,1,1,0,1,1
FAM-00683,New York City,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00684,Western New York,Family/Guardian Survey,1,1,0,1,0,1,1,0
FAM-00685,New York City,Adult Family Survey,1,0,0,1,1,1,1,1
FAM-00686,Capital Region,Adult Family Survey,0,1,1,0,0,0,0,0
FAM-00687,Capital Region,Child Family Survey,1,1,1,1,0,1,0,0
FAM-00688,Hudson Valley,Adult Family Survey,0,0,1,1,0,1,1,1
FAM-00689,Southern Tier,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00690,Finger Lakes,Family/Guardian Survey,0,1,0,1,1,1,1,1
FAM-00691,North Country,Adult Family Survey,1,1,1,0,1,0,1,1
FAM-00692,New York City,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00693,Finger Lakes,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00694,Western New York,Child Family Survey,0,1,0,1,0,0,1,1
FAM-00695,New York City,Family/Guardian Survey,1,1,1,0,0,0,0,1
FAM-00696,Hudson Valley,Child Family Survey,0,1,1,1,1,1,0,1
FAM-00697,Southern Tier,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00698,Capital Region,Child Family Survey,1,1,0,0,1,0,0,1
FAM-00699,Hudson Valley,Family/Guardian Survey,1,0,1,1,1,1,1,1
FAM-00700,New York City,Family/Guardian Survey,1,1,1,1,0,1,1,0
FAM-00701,North Country,Adult Family Survey,1,1,1,1,0,1,1,1
FAM-00702,Central New York,Child Family Survey,1,1,1,0,0,1,0,0
FAM-00703,Long Island,Child Family Survey,1,0,0,1,1,0,1,1
FAM-00704,Long Island,Family/Guardian Survey,1,1,1,0,1,1,0,1
FAM-00705,New York City,Child Family Survey,0,1,1,1,1,0,0,1
FAM-00706,New York City,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00707,Western New York,Child Family Survey,0,1,0,0,1,1,0,1
FAM-00708,Capital Region,Adult Family Survey,1,1,0,0,1,1,1,1
FAM-00709,Central New York,Child Family Survey,1,1,1,0,1,1,0,1
FAM-00710,New York City,Child Family Survey,1,1,1,1,1,1,0,0
FAM-00711,New York City,Child Family Survey,1,1,1,1,1,0,0,1
FAM-00712,Hudson Valley,Adult Family Survey,1,1,1,1,1,0,0,1
FAM-00713,New York City,Child Family Survey,1,0,1,1,1,1,0,1
FAM-00714,Central New York,Family/Guardian Survey,1,0,1,1,0,0,1,0
FAM-00715,New York City,Child Family Survey,1,1,1,1,1,0,0,1
FAM-00716,New York City,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00717,Western New York,Family/Guardian Survey,1,0,0,1,0,0,1,1
FAM-00718,New York City,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00719,New York City,Child Family Survey,1,1,1,0,0,0,1,1
FAM-00720,Long Island,Family/Guardian Survey,1,1,0,1,1,1,0,1
FAM-00721,Long Island,Adult Family Survey,1,1,1,1,0,1,0,0
FAM-00722,Capital Region,Adult Family Survey,1,1,1,0,1,0,1,1
FAM-00723,Capital Region,Family/Guardian Survey,0,0,1,0,0,0,0,1
FAM-00724,Hudson Valley,Child Family Survey,1,1,1,0,1,1,1,0
FAM-00725,Hudson Valley,Child Family Survey,1,1,1,1,0,1,0,1
FAM-00726,Finger Lakes,Family/Guardian Survey,0,1,1,1,1,1,0,1
FAM-00727,Capital Region,Child Family Survey,1,0,1,1,1,1,0,0
FAM-00728,New York City,Adult Family Survey,0,1,0,1,1,1,1,1
FAM-00729,New York City,Child Family Survey,1,1,0,1,1,0,1,1
FAM-00730,New York City,Child Family Survey,0,0,1,1,1,0,1,1
